fac_cd,fac_nm,ctp_cd,ctp_nm,sig_cd,sig_nm,emd_cd,emd_nm,all_addr_nm,lat,lon
SH00009804,순천매산여자고등학교,4600000000,전라남도,4615000000,순천시,4615010700,매곡동,전라남도 순천시 매곡동 166-9,34.9588901,127.4807898
SH00005782,순천복성고등학교,4600000000,전라남도,4615000000,순천시,4615031021,해룡면,전라남도 순천시 해룡면 복성리 437,34.946384,127.5440978
SH00003731,언남고등학교,1100000000,서울특별시,1165000000,서초구,1165010200,양재동,서울특별시 서초구 양재동 309,37.4725868,127.042718
SH00009231,언양고등학교,3100000000,울산광역시,3171000000,울주군,3171025324,언양읍,울산광역시 울주군 언양읍 어음리 278,35.5618308,129.1337372
SH00000335,여강고등학교,4100000000,경기도,4167000000,여주시,4167036033,북내면,경기도 여주시 북내면 신접리 200,37.3292857,127.6831781
SH00009036,여남고등학교,4600000000,전라남도,4613000000,여수시,4613034021,남면,전라남도 여수시 남면 우학리 181,34.5122061,127.7679239
SH00001404,여량고등학교,5100000000,강원특별자치도,5177000000,정선군,5177037021,여량면,강원특별자치도 정선군 여량면 여량리 87,37.4693113902852,128.726713141698
SH00006155,상우고등학교,4100000000,경기도,4115000000,의정부시,4115010100,의정부동,경기도 의정부시 의정부동 611,37.7312094,127.0373347
SH00009653,상원고등학교,4100000000,경기도,4119200000,부천시 원미구,4119210900,상동,경기도 부천시 상동 570-8,37.4983138,126.7523333
SH00001516,상인고등학교,2700000000,대구광역시,2729000000,달서구,2729011500,상인동,대구광역시 달서구 상인동 1562,35.8105072,128.5512753
SH00009654,상일고등학교,4100000000,경기도,4119200000,부천시 원미구,4119210900,상동,경기도 부천시 상동 572-2,37.4981499,126.7436631
SH00005506,상일미디어고등학교,1100000000,서울특별시,1174000000,강동구,1174010300,상일동,서울특별시 강동구 상일동 189,37.5479536894,127.170218258
SH00002476,상일여자고등학교,2900000000,광주광역시,2914000000,서구,2914011800,쌍촌동,광주광역시 서구 쌍촌동 1353,35.1586022,126.8644416
