BSI업종코드,SRR업종코드,계층구분코드,국내업체업종세그먼트코드,국외업체업종세그먼트코드,등록경로구분코드,등록부서코드,등록사용자ID,등록일시,수정경로구분코드,수정부서코드,수정사용자ID,수정일시,업종영문명,업종코드,업종코드버전,업종한글명,원본업종코드
,47,4,4,3,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,Retail sale of babies' garments,47417,10,유아용 의류 소매업,G47417
,47,4,4,3,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,Retail sale of household textile articles,47421,10,가정용 직물제품 소매업,G47421
,47,4,4,3,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,Retail sale of wear accessaries and costume jewellery,47422,10,의복 액세서리 및 모조 장신구 소매업,G47422
,47,4,4,3,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,"Retail sale of fabrics, threads and other textile goods",47429,10,"섬유 원단, 실 및 기타 섬유제품 소매업",G47429
,47,3,4,3,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,Retail sale of luggage and other leather products,4744,10,가방 및 기타 가죽제품 소매업,G4744
,47,4,4,3,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,Retail sale of luggage and other leather products,47440,10,가방 및 기타 가죽제품 소매업,G47440
,239A,4,2,2,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,Manufacture of sanitary and industrial ceramic ware,23222,10,위생용 및 산업용 도자기 제조업,C23222
,F,4,3,3,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,Other multi-unit house construction including apartment unit in a house,41119,10,기타 공동 주택 건설업,F41119
,49O,3,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Freight transport by road,4930,10,도로 화물 운송업,H4930
,49O,4,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,General freight trucking by heavy truck,49301,10,일반 화물자동차 운송업,H49301
,49O,4,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Freight trucking by light or small truck,49302,10,용달 화물자동차 운송업,H49302
,49O,4,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Freight trucking by medium truck,49303,10,개별 화물자동차 운송업,H49303
,49O,4,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Other freight transport by road,49309,10,기타 도로화물 운송업,H49309
,239C,4,2,2,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,Manufacture of carbon fibers,23995,10,탄소섬유 제조업,C23995
,2822,4,2,2,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,Manufacture of metal shaping machinery,29224,10,금속 성형기계 제조업,C29224
,F,4,3,3,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,Roofing and siding works,42138,10,"지붕, 내.외벽 축조 관련 전문 공사업 ",F42138
